ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
1,Adelaide,Adelaide International 1,1/1/2023,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Gasquet R.,61,68,776,740,7,6,6,7,7,5,,,,,2,1,Completed
1,Adelaide,Adelaide International 1,1/1/2023,ATP250,Outdoor,Hard,1st Round,3,Mcdonald M.,Galan D.E.,63,67,775,741,6,3,,,,,,,,,1,0,Retired
1,Adelaide,Adelaide International 1,1/2/2023,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,O Connell C.,29,78,1420,652,6,4,6,4,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/2/2023,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Rune H.,36,11,1134,2888,2,6,6,4,6,4,,,,,2,1,Completed
1,Adelaide,Adelaide International 1,1/2/2023,ATP250,Outdoor,Hard,1st Round,3,Popyrin A.,Auger-Aliassime F.,120,6,469,4195,6,4,7,6,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/2/2023,ATP250,Outdoor,Hard,1st Round,3,Halys Q.,Thompson J.,64,84,767,626,6,3,6,4,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/2/2023,ATP250,Outdoor,Hard,1st Round,3,Safiullin R.,Ymer M.,88,69,606,739,6,4,6,2,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/2/2023,ATP250,Outdoor,Hard,1st Round,3,Draper J.,Kwon S.W.,42,83,990,630,6,2,6,1,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/2/2023,ATP250,Outdoor,Hard,1st Round,3,Kokkinakis T.,Cressy M.,93,34,592,1163,7,6,7,6,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/3/2023,ATP250,Outdoor,Hard,1st Round,3,Medvedev D.,Sonego L.,7,45,4065,950,7,6,2,1,,,,,,,1,0,Retired
1,Adelaide,Adelaide International 1,1/3/2023,ATP250,Outdoor,Hard,1st Round,3,Khachanov K.,Cachin P.,20,57,1990,813,6,2,6,4,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/3/2023,ATP250,Outdoor,Hard,1st Round,3,Djokovic N.,Lestienne C.,5,65,4820,760,6,3,6,2,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/3/2023,ATP250,Outdoor,Hard,1st Round,3,Sinner J.,Edmund K.,15,582,2410,52,6,3,6,2,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/3/2023,ATP250,Outdoor,Hard,1st Round,3,Shapovalov D.,Hijikata R.,18,164,2075,344,2,6,6,4,6,3,,,,,2,1,Completed
1,Adelaide,Adelaide International 1,1/3/2023,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Rublev A.,21,8,1940,3930,4,6,6,3,6,4,,,,,2,1,Completed
1,Adelaide,Adelaide International 1,1/3/2023,ATP250,Outdoor,Hard,1st Round,3,Korda S.,Murray A.,33,49,1175,920,7,6,6,3,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/4/2023,ATP250,Outdoor,Hard,2nd Round,3,Khachanov K.,Draper J.,20,42,1990,990,6,4,6,2,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/4/2023,ATP250,Outdoor,Hard,2nd Round,3,Nishioka Y.,Mcdonald M.,36,63,1134,775,6,4,6,3,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/4/2023,ATP250,Outdoor,Hard,2nd Round,3,Medvedev D.,Kecmanovic M.,7,29,4065,1420,6,0,6,3,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/4/2023,ATP250,Outdoor,Hard,2nd Round,3,Popyrin A.,Giron M.,120,61,469,776,4,6,6,4,6,3,,,,,2,1,Completed
1,Adelaide,Adelaide International 1,1/5/2023,ATP250,Outdoor,Hard,2nd Round,3,Shapovalov D.,Safiullin R.,18,88,2075,606,6,4,6,3,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/5/2023,ATP250,Outdoor,Hard,2nd Round,3,Djokovic N.,Halys Q.,5,64,4820,767,7,6,7,6,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/5/2023,ATP250,Outdoor,Hard,2nd Round,3,Korda S.,Bautista Agut R.,33,21,1175,1940,6,4,6,4,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/5/2023,ATP250,Outdoor,Hard,2nd Round,3,Sinner J.,Kokkinakis T.,15,93,2410,592,7,6,6,4,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/6/2023,ATP250,Outdoor,Hard,Quarterfinals,3,Nishioka Y.,Popyrin A.,36,120,1134,469,7,6,6,7,6,2,,,,,2,1,Completed
1,Adelaide,Adelaide International 1,1/6/2023,ATP250,Outdoor,Hard,Quarterfinals,3,Korda S.,Sinner J.,33,15,1175,2410,7,5,6,1,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/6/2023,ATP250,Outdoor,Hard,Quarterfinals,3,Medvedev D.,Khachanov K.,7,20,4065,1990,6,3,6,3,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/6/2023,ATP250,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Shapovalov D.,5,18,4820,2075,6,3,6,4,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/7/2023,ATP250,Outdoor,Hard,Semifinals,3,Korda S.,Nishioka Y.,33,36,1175,1134,7,6,1,0,,,,,,,1,0,Retired
1,Adelaide,Adelaide International 1,1/7/2023,ATP250,Outdoor,Hard,Semifinals,3,Djokovic N.,Medvedev D.,5,7,4820,4065,6,3,6,4,,,,,,,2,0,Completed
1,Adelaide,Adelaide International 1,1/8/2023,ATP250,Outdoor,Hard,The Final,3,Djokovic N.,Korda S.,5,33,4820,1175,6,7,7,6,6,4,,,,,2,1,Completed
2,Pune,Maharashtra Open,1/2/2023,ATP250,Outdoor,Hard,1st Round,3,Bonzi B.,Tseng C.H.,60,115,781,490,6,0,6,3,,,,,,,2,0,Completed
2,Pune,Maharashtra Open,1/2/2023,ATP250,Outdoor,Hard,1st Round,3,Carballes Baena R.,Zapata Miralles B.,74,72,695,712,6,1,7,5,,,,,,,2,0,Completed
2,Pune,Maharashtra Open,1/2/2023,ATP250,Outdoor,Hard,1st Round,3,Mmoh M.,Dhamne M.,113,N/A,507,N/A,6,2,6,4,,,,,,,2,0,Completed
2,Pune,Maharashtra Open,1/2/2023,ATP250,Outdoor,Hard,1st Round,3,Griekspoor T.,Munar J.,95,58,584,802,6,4,7,5,,,,,,,2,0,Completed
2,Pune,Maharashtra Open,1/2/2023,ATP250,Outdoor,Hard,1st Round,3,Djere L.,Molcan A.,70,50,738,895,6,2,6,4,,,,,,,2,0,Completed
2,Pune,Maharashtra Open,1/2/2023,ATP250,Outdoor,Hard,1st Round,3,Cecchinato M.,Basilashvili N.,101,91,562,595,6,2,6,2,,,,,,,2,0,Completed
2,Pune,Maharashtra Open,1/2/2023,ATP250,Outdoor,Hard,1st Round,3,Krajinovic F.,Nagal S.,54,503,845,70,6,4,4,6,6,4,,,,,2,1,Completed
2,Pune,Maharashtra Open,1/3/2023,ATP250,Outdoor,Hard,1st Round,3,Van Rijthoven T.,Albot R.,111,103,516,559,6,4,6,4,,,,,,,2,0,Completed
2,Pune,Maharashtra Open,1/3/2023,ATP250,Outdoor,Hard,1st Round,3,Marterer M.,Ymer E.,159,127,354,444,6,2,3,6,6,3,,,,,2,1,Completed
2,Pune,Maharashtra Open,1/3/2023,ATP250,Outdoor,Hard,1st Round,3,Martinez P.,Ramanathan R.,62,435,776,98,3,6,7,5,6,3,,,,,2,1,Completed
2,Pune,Maharashtra Open,1/3/2023,ATP250,Outdoor,Hard,1st Round,3,Karatsev A.,Andujar P.,59,121,795,467,6,1,6,3,,,,,,,2,0,Completed
2,Pune,Maharashtra Open,1/3/2023,ATP250,Outdoor,Hard,1st Round,3,Cobolli F.,Mukund S.,171,340,335,146,6,4,7,5,,,,,,,2,0,Completed
2,Pune,Maharashtra Open,1/4/2023,ATP250,Outdoor,Hard,2nd Round,3,Marterer M.,Djere L.,159,70,354,738,7,6,6,2,,,,,,,2,0,Completed
2,Pune,Maharashtra Open,1/4/2023,ATP250,Outdoor,Hard,2nd Round,3,Karatsev A.,Van Rijthoven T.,59,111,795,516,7,6,7,6,,,,,,,2,0,Completed
2,Pune,Maharashtra Open,1/4/2023,ATP250,Outdoor,Hard,2nd Round,3,Martinez P.,Baez S.,62,43,776,987,3,6,6,1,6,3,,,,,2,1,Completed
2,Pune,Maharashtra Open,1/4/2023,ATP250,Outdoor,Hard,2nd Round,3,Griekspoor T.,Cecchinato M.,95,101,584,562,6,4,6,4,,,,,,,2,0,Completed
2,Pune,Maharashtra Open,1/4/2023,ATP250,Outdoor,Hard,2nd Round,3,Van De Zandschulp B.,Cobolli F.,35,171,1160,335,7,5,6,4,,,,,,,2,0,Completed
2,Pune,Maharashtra Open,1/4/2023,ATP250,Outdoor,Hard,2nd Round,3,Bonzi B.,Ruusuvuori E.,60,40,781,1011,6,1,7,6,,,,,,,2,0,Completed
2,Pune,Maharashtra Open,1/4/2023,ATP250,Outdoor,Hard,2nd Round,3,Krajinovic F.,Mmoh M.,54,113,845,507,2,6,6,3,6,4,,,,,2,1,Completed
2,Pune,Maharashtra Open,1/4/2023,ATP250,Outdoor,Hard,2nd Round,3,Cilic M.,Carballes Baena R.,17,74,2105,695,6,3,3,6,6,1,,,,,2,1,Completed
2,Pune,Maharashtra Open,1/5/2023,ATP250,Outdoor,Hard,Quarterfinals,3,Karatsev A.,Martinez P.,59,62,795,776,6,1,6,2,,,,,,,2,0,Completed
2,Pune,Maharashtra Open,1/5/2023,ATP250,Outdoor,Hard,Quarterfinals,3,Griekspoor T.,Cilic M.,95,17,584,2105,,,,,,,,,,,,,Walkover
2,Pune,Maharashtra Open,1/5/2023,ATP250,Outdoor,Hard,Quarterfinals,3,Van De Zandschulp B.,Marterer M.,35,159,1160,354,6,4,6,2,,,,,,,2,0,Completed
2,Pune,Maharashtra Open,1/5/2023,ATP250,Outdoor,Hard,Quarterfinals,3,Bonzi B.,Krajinovic F.,60,54,781,845,7,6,6,4,,,,,,,2,0,Completed
2,Pune,Maharashtra Open,1/6/2023,ATP250,Outdoor,Hard,Semifinals,3,Griekspoor T.,Karatsev A.,95,59,584,795,7,6,6,1,,,,,,,2,0,Completed
2,Pune,Maharashtra Open,1/6/2023,ATP250,Outdoor,Hard,Semifinals,3,Bonzi B.,Van De Zandschulp B.,60,35,781,1160,7,6,6,7,6,1,,,,,2,1,Completed
2,Pune,Maharashtra Open,1/7/2023,ATP250,Outdoor,Hard,The Final,3,Griekspoor T.,Bonzi B.,95,60,584,781,4,6,7,5,6,3,,,,,2,1,Completed
3,Adelaide,Adelaide International 2,1/9/2023,ATP250,Outdoor,Hard,1st Round,3,Mcdonald M.,Evans D.,63,27,775,1450,7,5,7,5,,,,,,,2,0,Completed
3,Adelaide,Adelaide International 2,1/9/2023,ATP250,Outdoor,Hard,1st Round,3,Draper J.,Sonego L.,40,44,1010,950,6,4,6,2,,,,,,,2,0,Completed
3,Adelaide,Adelaide International 2,1/9/2023,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Edmund K.,28,583,1420,52,6,4,7,5,,,,,,,2,0,Completed
3,Adelaide,Adelaide International 2,1/9/2023,ATP250,Outdoor,Hard,1st Round,3,Davidovich Fokina A.,Nakashima B.,32,47,1280,927,6,2,7,6,,,,,,,2,0,Completed
3,Adelaide,Adelaide International 2,1/9/2023,ATP250,Outdoor,Hard,1st Round,3,Kokkinakis T.,Popyrin A.,110,113,522,506,6,0,6,7,7,5,,,,,2,1,Completed
3,Adelaide,Adelaide International 2,1/10/2023,ATP250,Outdoor,Hard,1st Round,3,Paul T.,O Connell C.,35,79,1185,652,6,4,7,5,,,,,,,2,0,Completed
3,Adelaide,Adelaide International 2,1/10/2023,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Ramos-Vinolas A.,148,38,378,1075,4,6,6,3,7,6,,,,,2,1,Completed
